Survived,Sex,Age,Fare,Gender,Pclass_1,Pclass_2,Pclass_3,Embarked_0,Embarked_1,Embarked_2,FamilySize
1,0,38.0,71.2833,0,1,0,0,1,0,0,2
1,0,35.0,53.1,0,1,0,0,0,0,1,2
0,1,54.0,51.8625,1,1,0,0,0,0,1,1
1,0,4.0,16.7,0,0,0,1,0,0,1,3
1,0,58.0,26.55,0,1,0,0,0,0,1,1
1,1,34.0,13.0,1,0,1,0,0,0,1,1
1,1,28.0,35.5,1,1,0,0,0,0,1,1
0,1,19.0,263.0,1,1,0,0,0,0,1,6
1,0,29.6991176471,146.5208,0,1,0,0,1,0,0,2
1,0,49.0,76.7292,0,1,0,0,1,0,0,2
0,1,65.0,61.9792,1,1,0,0,1,0,0,2
1,1,29.6991176471,35.5,1,1,0,0,0,0,1,1
0,1,45.0,83.475,1,1,0,0,0,0,1,2
1,0,29.0,10.5,0,0,1,0,0,0,1,1
0,1,25.0,7.65,1,0,0,1,0,0,1,1
1,0,23.0,263.0,0,1,0,0,0,0,1,6
0,1,46.0,61.175,1,1,0,0,0,0,1,2
0,1,71.0,34.6542,1,1,0,0,1,0,0,1
1,1,23.0,63.3583,1,1,0,0,1,0,0,2
0,1,21.0,77.2875,1,1,0,0,0,0,1,2
0,1,47.0,52.0,1,1,0,0,0,0,1,1
0,1,24.0,247.5208,1,1,0,0,1,0,0,2
1,0,32.5,13.0,0,0,1,0,0,0,1,1
0,1,54.0,77.2875,1,1,0,0,0,0,1,2
1,0,29.6991176471,22.3583,0,0,0,1,1,0,0,3
1,0,19.0,26.2833,0,1,0,0,0,0,1,3
0,1,37.0,53.1,1,1,0,0,0,0,1,2
0,1,24.0,79.2,1,1,0,0,1,0,0,1
0,1,36.5,26.0,1,0,1,0,0,0,1,3
1,0,22.0,66.6,0,1,0,0,0,0,1,2
1,0,29.6991176471,55.0,0,1,0,0,0,0,1,2
0,1,61.0,33.5,1,1,0,0,0,0,1,1
0,1,56.0,30.6958,1,1,0,0,1,0,0,1
0,0,50.0,28.7125,0,1,0,0,1,0,0,1
1,1,1.0,39.0,1,0,1,0,0,0,1,4
0,1,29.6991176471,50.0,1,1,0,0,0,0,1,1
1,1,3.0,26.0,1,0,1,0,0,0,1,3
1,0,44.0,27.7208,0,1,0,0,1,0,0,1
1,0,58.0,146.5208,0,1,0,0,1,0,0,1
0,0,2.0,10.4625,0,0,0,1,0,0,1,2
1,1,40.0,31.0,1,1,0,0,1,0,0,1
1,0,31.0,113.275,0,1,0,0,1,0,0,2
1,0,32.0,76.2917,0,1,0,0,1,0,0,1
1,1,38.0,90.0,1,1,0,0,0,0,1,2
1,0,35.0,83.475,0,1,0,0,0,0,1,2
0,1,44.0,90.0,1,1,0,0,0,1,0,3
1,1,37.0,52.5542,1,1,0,0,0,0,1,3
0,0,29.0,10.4625,0,0,0,1,0,0,1,3
0,1,62.0,26.55,1,1,0,0,0,0,1,1
1,0,30.0,86.5,0,1,0,0,0,0,1,1
0,1,52.0,79.65,1,1,0,0,0,0,1,3
0,1,40.0,0.0,1,1,0,0,0,0,1,1
1,0,58.0,153.4625,0,1,0,0,0,0,1,2
1,0,35.0,135.6333,0,1,0,0,0,0,1,1
0,1,37.0,29.7,1,1,0,0,1,0,0,2
1,0,63.0,77.9583,0,1,0,0,0,0,1,2
0,1,29.6991176471,26.0,1,1,0,0,0,0,1,1
1,0,19.0,91.0792,0,1,0,0,1,0,0,2
0,1,36.0,12.875,1,0,1,0,1,0,0,1
0,0,2.0,151.55,0,1,0,0,0,0,1,4
1,1,29.6991176471,30.5,1,1,0,0,0,0,1,1
1,0,50.0,247.5208,0,1,0,0,1,0,0,2
1,0,29.6991176471,12.35,0,0,1,0,0,1,0,1
1,1,0.92,151.55,1,1,0,0,0,0,1,4
1,0,17.0,108.9,0,1,0,0,1,0,0,2
1,0,30.0,56.9292,0,1,0,0,1,0,0,1
1,0,24.0,83.1583,0,1,0,0,1,0,0,1
1,0,18.0,262.375,0,1,0,0,1,0,0,5
1,0,31.0,164.8667,0,1,0,0,0,0,1,3
1,0,40.0,134.5,0,1,0,0,1,0,0,3
1,0,36.0,135.6333,0,1,0,0,1,0,0,1
1,0,36.0,13.0,0,0,1,0,0,0,1,1
1,0,16.0,57.9792,0,1,0,0,1,0,0,2
0,1,45.5,28.5,1,1,0,0,0,0,1,1
0,1,38.0,153.4625,1,1,0,0,0,0,1,2
0,1,29.0,66.6,1,1,0,0,0,0,1,2
1,0,41.0,134.5,0,1,0,0,1,0,0,1
0,1,45.0,35.5,1,1,0,0,0,0,1,1
1,1,2.0,26.0,1,0,1,0,0,0,1,3
1,0,24.0,263.0,0,1,0,0,0,0,1,6
1,0,24.0,13.0,0,0,1,0,0,0,1,1
0,1,29.6991176471,35.0,1,1,0,0,0,0,1,1
1,0,22.0,55.0,0,1,0,0,0,0,1,2
1,0,60.0,75.25,0,1,0,0,1,0,0,2
1,0,24.0,69.3,0,1,0,0,1,0,0,1
1,1,25.0,55.4417,1,1,0,0,1,0,0,2
0,1,27.0,211.5,1,1,0,0,1,0,0,3
1,1,36.0,120.0,1,1,0,0,0,0,1,4
1,0,23.0,113.275,0,1,0,0,1,0,0,2
1,0,24.0,16.7,0,0,0,1,0,0,1,3
1,0,33.0,90.0,0,1,0,0,0,1,0,2
1,1,32.0,8.05,1,0,0,1,0,0,1,1
1,1,28.0,26.55,1,1,0,0,0,0,1,1
0,1,50.0,55.9,1,1,0,0,0,0,1,2
1,0,14.0,120.0,0,1,0,0,0,0,1,4
0,1,64.0,263.0,1,1,0,0,0,0,1,6
1,1,4.0,81.8583,1,1,0,0,0,0,1,3
1,1,52.0,30.5,1,1,0,0,0,0,1,1
0,1,30.0,27.75,1,1,0,0,1,0,0,1
1,1,49.0,89.1042,1,1,0,0,1,0,0,2
0,1,65.0,26.55,1,1,0,0,0,0,1,1
1,0,29.6991176471,51.8625,0,1,0,0,0,0,1,2
1,1,48.0,26.55,1,1,0,0,0,0,1,1
0,1,47.0,38.5,1,1,0,0,0,0,1,1
1,0,23.0,13.7917,0,0,1,0,1,0,0,1
0,1,29.6991176471,52.0,1,1,0,0,0,0,1,1
1,1,25.0,91.0792,1,1,0,0,1,0,0,2
1,0,35.0,90.0,0,1,0,0,0,0,1,2
0,1,58.0,29.7,1,1,0,0,1,0,0,1
0,1,55.0,30.5,1,1,0,0,0,0,1,1
1,0,54.0,78.2667,0,1,0,0,1,0,0,2
0,0,25.0,151.55,0,1,0,0,0,0,1,4
1,0,16.0,86.5,0,1,0,0,0,0,1,1
0,1,18.0,108.9,1,1,0,0,1,0,0,2
1,1,36.0,26.2875,1,1,0,0,0,0,1,1
0,1,47.0,34.0208,1,1,0,0,0,0,1,1
1,0,34.0,10.5,0,0,1,0,0,0,1,1
1,0,30.0,93.5,0,1,0,0,0,0,1,1
1,0,44.0,57.9792,0,1,0,0,1,0,0,2
0,1,29.6991176471,221.7792,1,1,0,0,0,0,1,1
0,1,45.0,26.55,1,1,0,0,0,0,1,1
1,0,22.0,49.5,0,1,0,0,1,0,0,3
1,0,36.0,71.0,0,1,0,0,0,0,1,3
0,1,50.0,106.425,1,1,0,0,1,0,0,2
1,1,17.0,110.8833,1,1,0,0,1,0,0,3
1,0,48.0,39.6,0,1,0,0,1,0,0,2
1,0,39.0,79.65,0,1,0,0,0,0,1,3
1,0,53.0,51.4792,0,1,0,0,0,0,1,3
1,1,36.0,26.3875,1,1,0,0,0,0,1,1
1,0,39.0,55.9,0,1,0,0,0,0,1,2
1,0,39.0,110.8833,0,1,0,0,1,0,0,3
0,1,36.0,40.125,1,1,0,0,1,0,0,1
1,0,18.0,79.65,0,1,0,0,0,0,1,3
1,1,60.0,79.2,1,1,0,0,1,0,0,3
1,0,52.0,78.2667,0,1,0,0,1,0,0,2
1,1,49.0,56.9292,1,1,0,0,1,0,0,2
1,0,40.0,153.4625,0,1,0,0,0,0,1,1
1,0,4.0,39.0,0,0,1,0,0,0,1,4
1,1,42.0,52.5542,1,1,0,0,0,0,1,2
0,1,61.0,32.3208,1,1,0,0,0,0,1,1
1,0,21.0,77.9583,0,1,0,0,0,0,1,1
1,1,80.0,30.0,1,1,0,0,0,0,1,1
1,1,32.0,30.5,1,1,0,0,1,0,0,1
1,0,24.0,69.3,0,1,0,0,1,0,0,1
1,1,48.0,76.7292,1,1,0,0,1,0,0,2
1,1,56.0,35.5,1,1,0,0,1,0,0,1
0,1,58.0,113.275,1,1,0,0,1,0,0,3
0,1,47.0,25.5875,1,1,0,0,0,0,1,1
1,0,29.6991176471,52.0,0,1,0,0,0,0,1,2
0,1,31.0,52.0,1,1,0,0,0,0,1,2
1,1,36.0,512.3292,1,1,0,0,1,0,0,2
1,1,27.0,76.7292,1,1,0,0,1,0,0,1
1,0,15.0,211.3375,0,1,0,0,0,0,1,2
1,1,31.0,57.0,1,1,0,0,0,0,1,2
0,1,49.0,110.8833,1,1,0,0,1,0,0,3
0,1,42.0,7.65,1,0,0,1,0,0,1,1
1,0,18.0,227.525,0,1,0,0,1,0,0,2
1,1,35.0,26.2875,1,1,0,0,0,0,1,1
1,1,42.0,26.2875,1,1,0,0,0,0,1,1
1,0,24.0,49.5042,0,1,0,0,1,0,0,1
0,1,29.6991176471,26.55,1,1,0,0,0,0,1,1
1,1,48.0,52.0,1,1,0,0,0,0,1,2
0,1,19.0,7.65,1,0,0,1,0,0,1,1
1,0,38.0,227.525,0,1,0,0,1,0,0,1
1,0,27.0,10.5,0,0,1,0,0,0,1,1
1,1,27.0,53.1,1,1,0,0,0,0,1,2
1,0,29.0,211.3375,0,1,0,0,0,0,1,1
1,1,35.0,512.3292,1,1,0,0,1,0,0,1
1,1,29.6991176471,30.0,1,1,0,0,0,0,1,1
0,1,36.0,78.85,1,1,0,0,0,0,1,2
1,0,21.0,262.375,0,1,0,0,1,0,0,5
0,1,70.0,71.0,1,1,0,0,0,0,1,3
0,1,19.0,53.1,1,1,0,0,0,0,1,2
1,1,6.0,12.475,1,0,0,1,0,0,1,2
1,0,33.0,86.5,0,1,0,0,0,0,1,1
1,0,36.0,120.0,0,1,0,0,0,0,1,4
1,0,51.0,77.9583,0,1,0,0,0,0,1,2
0,0,57.0,10.5,0,0,1,0,0,0,1,1
0,1,29.6991176471,7.75,1,0,0,1,0,1,0,1
1,0,43.0,211.3375,0,1,0,0,0,0,1,2
1,0,17.0,57.0,0,1,0,0,0,0,1,2
0,1,29.0,30.0,1,1,0,0,0,0,1,1
0,1,46.0,79.2,1,1,0,0,1,0,0,1
1,0,49.0,25.9292,0,1,0,0,0,0,1,1
1,1,11.0,120.0,1,1,0,0,0,0,1,4
0,1,39.0,0.0,1,1,0,0,0,0,1,1
1,0,33.0,53.1,0,1,0,0,0,0,1,2
0,1,29.6991176471,0.0,1,1,0,0,0,0,1,1
1,0,52.0,93.5,0,1,0,0,0,0,1,3
1,0,27.0,12.475,0,0,0,1,0,0,1,2
1,0,39.0,83.1583,0,1,0,0,1,0,0,3
1,1,29.6991176471,29.7,1,1,0,0,1,0,0,1
1,0,29.6991176471,89.1042,0,1,0,0,1,0,0,2
1,0,16.0,39.4,0,1,0,0,0,0,1,2
1,1,51.0,26.55,1,1,0,0,0,0,1,1
1,0,48.0,25.9292,0,1,0,0,0,0,1,1
0,1,31.0,50.4958,1,1,0,0,0,0,1,1
1,0,47.0,52.5542,0,1,0,0,0,0,1,3
0,1,33.0,5.0,1,1,0,0,0,0,1,1
1,0,56.0,83.1583,0,1,0,0,1,0,0,2
1,0,19.0,30.0,0,1,0,0,0,0,1,1
1,1,26.0,30.0,1,1,0,0,1,0,0,1
